"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"T1","TO252-3N","37.875mm","10.85mm","36.625mm","10.85mm","40.975mm","8.57mm","T","180.00","IRLR8729"
"R16","RESC2012N","41.75mm","29.675mm","41.75mm","29.675mm","41.75mm","28.775mm","T","90.00","330"
"C11","CAPC2012N","9.575mm","30.375mm","9.575mm","30.375mm","10.425mm","30.375mm","T","180.00","100n"
"R6","RESC2012N","21.875mm","14.375mm","21.875mm","14.375mm","22.775mm","14.375mm","T","180.00","1k"
"C10","CAPC2012N","35.475mm","22.925mm","35.475mm","22.925mm","34.625mm","22.925mm","T","360.00","1n"
"U1","SOP65P780-28N","21.377mm","20.887mm","21.377mm","20.887mm","24.827mm","16.662mm","T","180.00","CY8C24423-24SI"
"R13","RESC2012N","14.65mm","25.025mm","14.65mm","25.025mm","15.55mm","25.025mm","T","180.00","1k"
"R12","RESC2012N","36.25mm","20.175mm","36.25mm","20.175mm","36.25mm","19.275mm","T","90.00","100k"
"R11","RESC2012N","36.25mm","28.625mm","36.25mm","28.625mm","36.25mm","29.525mm","T","270.00","100k"
"R10","RESC2012N","14.65mm","23.1249mm","14.65mm","23.1249mm","15.55mm","23.1249mm","T","180.00","10k"
"R8","RESC2012N","14.65mm","19.2249mm","14.65mm","19.2249mm","15.55mm","19.2249mm","T","180.00","1k"
"R7","RESC2012N","14.65mm","13.425mm","14.65mm","13.425mm","13.75mm","13.425mm","T","360.00","120k"
"R5","RESC2012N","29.375mm","15.9mm","29.375mm","15.9mm","28.475mm","15.9mm","T","360.00","1k"
"R4","RESC2012N","14.65mm","15.325mm","14.65mm","15.325mm","13.75mm","15.325mm","T","360.00","10k"
"R3","RESC2012N","16.9mm","6.3mm","16.9mm","6.3mm","16mm","6.3mm","T","360.00","61R9"
"R2","RESC2012N","20.4mm","6.3mm","20.4mm","6.3mm","21.3mm","6.3mm","T","180.00","1k"
"C9","CAPC2012N","35.45mm","25.875mm","35.45mm","25.875mm","34.6mm","25.875mm","T","360.00","1n"
"C8","CAPC2012N","14.65mm","21.1749mm","14.65mm","21.1749mm","13.8mm","21.1749mm","T","360.00","100n"
"C6","CAPC2012N","14.65mm","17.2749mm","14.65mm","17.2749mm","13.8mm","17.2749mm","T","360.00","1u"
"C5","CAPC2012N","18.375mm","14.325mm","18.375mm","14.325mm","17.525mm","14.325mm","T","360.00","100n"
"C12","CAPC2012N","2.6mm","17.225mm","2.6mm","17.225mm","2.6mm","16.375mm","T","90.00","100n"
"C13","CAPC2012N","11.9mm","21.075mm","11.9mm","21.075mm","11.9mm","21.925mm","T","270.00","10u 16V"
"C14","CAPC2012N","38.95mm","29.375mm","38.95mm","29.375mm","38.1mm","29.375mm","T","360.00","2n2"
"C15","CAPC2012N","38.95mm","19.425mm","38.95mm","19.425mm","38.1mm","19.425mm","T","360.00","2n2"
"D1","Diode_SMA_DO-214AC","39.475mm","2.225mm","39.475mm","2.225mm","41.525mm","2.225mm","T","360.00","SS34"
"D2","Diode_SMA_DO-214AC","6.325mm","9.125mm","6.325mm","9.125mm","8.375mm","9.125mm","T","360.00","SS34"
"R17","RESC2012N","34.35mm","28.625mm","34.35mm","28.625mm","34.35mm","29.525mm","T","270.00","100k"
"R18","RESC2012N","34.35mm","20.175mm","34.35mm","20.175mm","34.35mm","19.275mm","T","90.00","100k"
"U2","SOT23-3N","29.575mm","18.6mm","29.575mm","18.6mm","28.625mm","19.55mm","T","360.00","TL431 0.5%"
"U3","SOIC-SN8_N","39.95mm","24.175mm","39.95mm","24.175mm","41.855mm","26.575mm","T","270.00","MCP6L02"
"U4","TO252-3N","7.25mm","19.775mm","7.25mm","21.025mm","4.97mm","16.675mm","T","90.00","7805 D-PAK"
"C16","tantal_D_7343-31","6.225mm","13.15mm","6.225mm","13.15mm","3.025mm","13.15mm","T","360.00","100u 25V"
"D3","Diode_SMA_DO-214AC","39.475mm","5.45mm","39.475mm","5.45mm","41.525mm","5.45mm","T","360.00","SMAJ15"
"C17","CAPC2012N","41.925mm","17.95mm","41.925mm","17.95mm","41.925mm","17.1mm","T","90.00","100n"
